epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.718,1.98837,1.81228,0.72669,4.52929,1.90157,0,0,0,0,0.00167,0.02,0.00101,0.00036,2.64609,1.82812,0.73149,4.40346,2.78335,3.57e-05,3.57e-05,3.57e-05
2,22.4224,1.6041,1.5058,0.6168,4.27028,1.54973,0.0211,0.38862,0.05812,0.03712,0.00122,0.0128,0.00151,0.00033,1.73111,1.43826,0.55267,3.85292,1.60274,7.77625e-05,7.77625e-05,7.77625e-05
3,26.9518,1.36366,1.10017,0.47073,3.68014,1.29925,0.31491,0.47324,0.15631,0.10337,0.01293,0.0424,0.01184,0.00507,1.59892,1.37728,0.34264,4.81232,1.4216,0.000118977,0.000118977,0.000118977
4,31.5606,1.37562,0.825,0.31703,2.58705,1.2748,0.23311,0.53239,0.144,0.08924,0.1366,0.0388,0.02289,0.00856,1.47147,1.58151,0.17602,inf,1.37893,0.000159343,0.000159343,0.000159343
5,36.0035,1.34037,0.82174,0.25136,2.03599,1.22377,0.37254,0.32077,0.22224,0.15716,0.11943,0.03,0.01065,0.0053,1.37501,1.71528,0.11529,inf,1.32983,0.00019886,0.00019886,0.00019886
6,40.5027,1.319,0.82461,0.21184,1.76719,1.21366,0.23387,0.71008,0.40948,0.28403,0.04951,0.0576,0.0564,0.039,1.26425,1.14266,0.11793,9.53045,1.23168,0.00023753,0.00023753,0.00023753
7,44.9183,1.16067,0.66644,0.18804,1.52472,1.16443,0.36186,0.7326,0.50237,0.35614,0.0743,0.0488,0.0595,0.03843,1.22473,1.07452,0.10819,7.01306,1.17763,0.000275351,0.000275351,0.000275351
8,49.3893,1.15424,0.63857,0.17637,1.43864,1.13001,0.48961,0.57154,0.49194,0.34157,0.06721,0.0624,0.06067,0.04453,1.27072,0.93884,0.10539,3.44962,1.20687,0.000312324,0.000312324,0.000312324
9,53.7087,1.16228,0.64575,0.1649,1.2614,1.10279,0.65248,0.64347,0.66891,0.49354,0.08287,0.0608,0.06987,0.05584,1.17326,0.82752,0.10545,2.2531,1.15688,0.000348449,0.000348449,0.000348449
10,58.1075,1.05855,0.46033,0.13809,1.14511,1.06606,0.61403,0.68711,0.656,0.45423,0.0788,0.058,0.06624,0.05139,1.3261,0.79283,0.11152,1.81954,1.25878,0.000383726,0.000383726,0.000383726
11,62.5653,1.09942,0.46359,0.13535,1.11479,1.08423,0.63042,0.7109,0.67133,0.48603,0.17032,0.05498,0.05535,0.04118,1.23068,0.94074,0.0992,2.2249,1.22277,0.000418154,0.000418154,0.000418154
12,66.927,1.08552,0.52384,0.14166,1.10176,1.07282,0.76501,0.67714,0.74376,0.54763,0.08263,0.059,0.06663,0.05945,1.2019,0.72528,0.09805,1.60411,1.20402,0.000451734,0.000451734,0.000451734
